train_size,replicate,batch_id,control_name,train_n,test_n
350,1,batch_2,palbociclib,4,26
350,1,batch_2,rucaparib,3,23
350,1,batch_2,sorafenib,1,8
350,1,batch_2,veliparib,3,19
350,2,batch_1,AZD-3463,8,51
350,2,batch_1,AZD-7624,8,50
350,2,batch_1,BAY-293,7,49
350,2,batch_1,BGT226,4,25
350,2,batch_1,BMS-509744,7,49
350,2,batch_1,CP-673451,8,51
350,2,batch_1,Capmatinib,4,24
350,2,batch_1,Crizotinib,9,57
350,2,batch_1,GCN2-IN-7,6,43
350,2,batch_1,GSK126,7,46
350,2,batch_1,HTH-01-015,8,50
350,2,batch_1,IRAK inhibitor 1,7,46
350,2,batch_1,JAB-3068,8,50
350,2,batch_1,KME-2780,6,39
350,2,batch_1,MK2-IN-1,4,28
350,2,batch_1,MSC1094308,6,37
350,2,batch_1,N-deshydroxyethyl dasatinib,7,48
350,2,batch_1,SMARCA ligand 1,8,54
350,2,batch_1,STC-15,9,57
350,2,batch_1,STM2457,6,42
350,2,batch_1,XL019,7,49
350,2,batch_1,ZF135/MRTX-1719,7,45
350,2,batch_1,ZM336372,5,33
350,2,batch_1,aloperine,6,39
350,2,batch_1,ceritinib,8,50
350,2,batch_1,cobimetinib,9,59
350,2,batch_1,derazantinib,8,51
350,2,batch_1,endoxifen,7,47
350,2,batch_1,fexagratinib,8,53
350,2,batch_1,lapatinib,7,48
350,2,batch_1,momelotinib/CYT387,8,53
350,2,batch_1,palbociclib,9,56
350,2,batch_1,rucaparib,8,54
350,2,batch_1,sorafenib,3,21
350,2,batch_1,veliparib,7,49
350,2,batch_2,AZD-3463,2,13
350,2,batch_2,AZD-7624,4,26
350,2,batch_2,BAY-293,4,26
350,2,batch_2,BGT226,2,11
350,2,batch_2,BMS-509744,2,16
350,2,batch_2,CP-673451,4,27
350,2,batch_2,Capmatinib,1,9
350,2,batch_2,Crizotinib,4,29
350,2,batch_2,GCN2-IN-7,3,16
350,2,batch_2,GSK126,4,26
350,2,batch_2,HTH-01-015,3,23
350,2,batch_2,IRAK inhibitor 1,4,24
350,2,batch_2,JAB-3068,3,19
350,2,batch_2,KME-2780,4,24
350,2,batch_2,MK2-IN-1,2,13
350,2,batch_2,MSC1094308,1,8
350,2,batch_2,N-deshydroxyethyl dasatinib,3,21
350,2,batch_2,SMARCA ligand 1,5,30
350,2,batch_2,STC-15,4,28
350,2,batch_2,STM2457,3,16
350,2,batch_2,XL019,3,22
350,2,batch_2,ZF135/MRTX-1719,3,20
350,2,batch_2,ZM336372,2,12
350,2,batch_2,aloperine,3,17
350,2,batch_2,ceritinib,3,17
350,2,batch_2,cobimetinib,3,17
350,2,batch_2,derazantinib,3,18
350,2,batch_2,endoxifen,4,24
350,2,batch_2,fexagratinib,3,19
350,2,batch_2,lapatinib,3,19
350,2,batch_2,momelotinib/CYT387,3,18
350,2,batch_2,palbociclib,4,26
350,2,batch_2,rucaparib,3,23
350,2,batch_2,sorafenib,1,8
350,2,batch_2,veliparib,3,19
1000,0,batch_1,AZD-3463,22,51
1000,0,batch_1,AZD-7624,22,50
1000,0,batch_1,BAY-293,21,49
1000,0,batch_1,BGT226,11,25
1000,0,batch_1,BMS-509744,21,49
1000,0,batch_1,CP-673451,22,51
1000,0,batch_1,Capmatinib,11,24
1000,0,batch_1,Crizotinib,25,57
1000,0,batch_1,GCN2-IN-7,19,43
1000,0,batch_1,GSK126,20,46
1000,0,batch_1,HTH-01-015,22,50
1000,0,batch_1,IRAK inhibitor 1,20,46
1000,0,batch_1,JAB-3068,22,50
1000,0,batch_1,KME-2780,17,39
1000,0,batch_1,MK2-IN-1,12,28
1000,0,batch_1,MSC1094308,16,37
1000,0,batch_1,N-deshydroxyethyl dasatinib,21,48
1000,0,batch_1,SMARCA ligand 1,24,54
1000,0,batch_1,STC-15,25,57
1000,0,batch_1,STM2457,18,42
1000,0,batch_1,XL019,21,49
1000,0,batch_1,ZF135/MRTX-1719,20,45
1000,0,batch_1,ZM336372,14,33
1000,0,batch_1,aloperine,17,39
1000,0,batch_1,ceritinib,22,50
1000,0,batch_1,cobimetinib,26,59
1000,0,batch_1,derazantinib,22,51
1000,0,batch_1,endoxifen,20,47
1000,0,batch_1,fexagratinib,23,53
1000,0,batch_1,lapatinib,21,48
1000,0,batch_1,momelotinib/CYT387,23,53
1000,0,batch_1,palbociclib,24,56
1000,0,batch_1,rucaparib,24,54
1000,0,batch_1,sorafenib,9,21
1000,0,batch_1,veliparib,21,49
1000,0,batch_2,AZD-3463,6,13
1000,0,batch_2,AZD-7624,11,26
1000,0,batch_2,BAY-293,12,26
1000,0,batch_2,BGT226,5,11
1000,0,batch_2,BMS-509744,7,16
1000,0,batch_2,CP-673451,12,27
1000,0,batch_2,Capmatinib,4,9
1000,0,batch_2,Crizotinib,12,29
1000,0,batch_2,GCN2-IN-7,7,16
1000,0,batch_2,GSK126,12,26
1000,0,batch_2,HTH-01-015,10,23
1000,0,batch_2,IRAK inhibitor 1,11,24
1000,0,batch_2,JAB-3068,8,19
1000,0,batch_2,KME-2780,11,24
1000,0,batch_2,MK2-IN-1,6,13
1000,0,batch_2,MSC1094308,4,8
1000,0,batch_2,N-deshydroxyethyl dasatinib,9,21
1000,0,batch_2,SMARCA ligand 1,13,30
1000,0,batch_2,STC-15,12,28
1000,0,batch_2,STM2457,7,16
1000,0,batch_2,XL019,10,22
1000,0,batch_2,ZF135/MRTX-1719,9,20
1000,0,batch_2,ZM336372,6,12
1000,0,batch_2,aloperine,8,17
1000,0,batch_2,ceritinib,7,17
1000,0,batch_2,cobimetinib,7,17
1000,0,batch_2,derazantinib,8,18
1000,0,batch_2,endoxifen,10,24
1000,0,batch_2,fexagratinib,8,19
1000,0,batch_2,lapatinib,8,19
1000,0,batch_2,momelotinib/CYT387,8,18
1000,0,batch_2,palbociclib,12,26
1000,0,batch_2,rucaparib,10,23
1000,0,batch_2,sorafenib,4,8
1000,0,batch_2,veliparib,8,19
1000,1,batch_1,AZD-3463,22,51
1000,1,batch_1,AZD-7624,22,50
1000,1,batch_1,BAY-293,21,49
1000,1,batch_1,BGT226,11,25
1000,1,batch_1,BMS-509744,21,49
1000,1,batch_1,CP-673451,22,51
1000,1,batch_1,Capmatinib,11,24
1000,1,batch_1,Crizotinib,25,57
1000,1,batch_1,GCN2-IN-7,19,43
1000,1,batch_1,GSK126,20,46
1000,1,batch_1,HTH-01-015,22,50
1000,1,batch_1,IRAK inhibitor 1,20,46
1000,1,batch_1,JAB-3068,22,50
1000,1,batch_1,KME-2780,17,39
1000,1,batch_1,MK2-IN-1,12,28
1000,1,batch_1,MSC1094308,16,37
1000,1,batch_1,N-deshydroxyethyl dasatinib,21,48
1000,1,batch_1,SMARCA ligand 1,24,54
1000,1,batch_1,STC-15,25,57
1000,1,batch_1,STM2457,18,42
1000,1,batch_1,XL019,21,49
1000,1,batch_1,ZF135/MRTX-1719,20,45
1000,1,batch_1,ZM336372,14,33
1000,1,batch_1,aloperine,17,39
1000,1,batch_1,ceritinib,22,50
1000,1,batch_1,cobimetinib,26,59
1000,1,batch_1,derazantinib,22,51
1000,1,batch_1,endoxifen,20,47
1000,1,batch_1,fexagratinib,23,53
1000,1,batch_1,lapatinib,21,48
1000,1,batch_1,momelotinib/CYT387,23,53
1000,1,batch_1,palbociclib,24,56
1000,1,batch_1,rucaparib,24,54
1000,1,batch_1,sorafenib,9,21
1000,1,batch_1,veliparib,21,49
1000,1,batch_2,AZD-3463,6,13
1000,1,batch_2,AZD-7624,11,26
1000,1,batch_2,BAY-293,12,26
1000,1,batch_2,BGT226,5,11
1000,1,batch_2,BMS-509744,7,16
1000,1,batch_2,CP-673451,12,27
1000,1,batch_2,Capmatinib,4,9
1000,1,batch_2,Crizotinib,12,29
1000,1,batch_2,GCN2-IN-7,7,16
1000,1,batch_2,GSK126,12,26
1000,1,batch_2,HTH-01-015,10,23
1000,1,batch_2,IRAK inhibitor 1,11,24
1000,1,batch_2,JAB-3068,8,19
1000,1,batch_2,KME-2780,11,24
1000,1,batch_2,MK2-IN-1,6,13
1000,1,batch_2,MSC1094308,4,8
1000,1,batch_2,N-deshydroxyethyl dasatinib,9,21
1000,1,batch_2,SMARCA ligand 1,13,30
1000,1,batch_2,STC-15,12,28
1000,1,batch_2,STM2457,7,16
1000,1,batch_2,XL019,10,22
1000,1,batch_2,ZF135/MRTX-1719,9,20
1000,1,batch_2,ZM336372,6,12
1000,1,batch_2,aloperine,8,17
1000,1,batch_2,ceritinib,7,17
1000,1,batch_2,cobimetinib,7,17
1000,1,batch_2,derazantinib,8,18
1000,1,batch_2,endoxifen,10,24
1000,1,batch_2,fexagratinib,8,19
1000,1,batch_2,lapatinib,8,19
